Timestamp (s),Caption
0.04,many  years  ago  long  before  most  of  you
2.159,were  conceived  we  lived  in  a  Utopia
4.24,where  if  you  wanted  to  use  software  you
6.04,would  walk  into  a  store  buy  a  box  with  a
8.4,CD  or  floppy  disc  inside  of  it  insert  it
10.84,into  your  computer  and  then  it  was  yours
12.4,to  keep  forever  but  then  one  day  the
14.24,devil  got  a  job  as  a  product  manager  at
16.0,a  software  company  and  had  this  clever
17.88,idea  called  SAS  or  software  as  a  service
20.64,when  you  buy  it  you  don't  actually  own
22.119,it  and  just  rent  it  for  a  monthly  fee
23.8,until  the  day  you  die  this  caused
25.56,profits  to  go  parabolic  and  nowadays
27.519,companies  are  looking  to  squeeze  the
29.0,lemon  even  harder  like  pelaton  is  going
30.96,to  charge  a  $95  reactivation  fee  if  you
33.6,buy  a  used  bike  on  Craigslist  Logitech
35.92,is  looking  to  roll  out  a  pay  as  youo
37.64,Mouse  which  gives  a  new  meaning  to  pay
39.52,per  click  an  adobe  was  recently  sued  by
41.64,the  FTC  for  its  predatory  hidden  early
44.039,termination  fees  the  only  world  that
45.84,doesn't  have  this  problem  is  Temple  OS
47.96,but  the  reality  is  that  nobody  is
49.44,forcing  you  to  buy  these  products  in  a
51.039,free  market  and  the  best  way  to  escape
52.92,subscription  hell  is  to  use  free  and
54.84,open  source  software  Alternatives  that
56.64,these  big  companies  don't  want  you  to
57.96,know  about  before  we  get  into  it  make
59.48,sure  to  draw  and  quarter  that  like
60.96,button  and  put  the  subscription  button's
62.559,head  on  a  pike  it  really  helps  out  the
64.119,channel  aside  from  Windows  itself  which
66.08,can  easily  be  replaced  by  Linux  the  most
68.2,profitable  software  of  all  time  is
69.88,likely  Microsoft  Office  they  get  kids
71.88,hooked  on  it  in  grade  school  so  they  can
73.52,grow  up  to  spin  the  hamster  wheels  that
74.92,churn  out  Microsoft  profits  luckily
76.92,though  there's  a  free  and  open  source
78.439,version  called  Libra  office  which  can  do
80.479,almost  everything  that  word  excel  and
82.24,PowerPoint  do  and  is  compatible  with  a
84.079,crazy  number  of  file  formats  even
85.72,dumpster  fires  like  docx  but  it  is
87.799,missing  some  features  for  Microsoft
89.439,Office  like  it  doesn't  require  an
90.96,internet  connection  to  invade  your
92.32,privacy  it  doesn't  automatically  upload
94.2,your  documents  to  the  cloud  where  they
95.6,can  someday  be  breached  by  hackers  or
97.32,feds  and  it  doesn't  have  a  bunch  of  AI
99.04,garbage  built  into  it  if  you  really  want
100.64,those  features  you  should  continue  to
102.079,pay  Microsoft  but  if  you're  looking  for
103.64,Freedom  Libre  is  the  tool  now  many  teams
105.88,have  escaped  Microsoft  Office  only  to
107.68,land  in  other  paid  tools  like  air  table
109.92,which  itself  is  a  pretty  awesome  tool
111.719,but  extremely  expensive  at  $45  per  month
114.439,per  seat  what's  crazy  though  is  you
116.039,could  likely  support  hundreds  of  users
117.64,on  your  own  VPS  for  just  a  few  dollars
119.479,per  month  by  self-hosting  Nob  it  stores
122.24,data  in  your  favorite  SQL  database  but
124.28,turns  all  the  tables  into  Rich
